fiscal_year,avg_monthly_beneficiaries,avg_monthly_consumers,beneficiary_months,total_expenditures,expenditure_per_beneficiary_month,beneficiary_yoy_pct,expenditure_yoy_pct
2017,430866.0,415911.0,5170386,3469213635,670.98,,
2018,416476.0,400960.0,4997713,3666859078,733.71,-3.34,5.7
2019,410579.0,395514.0,4926945,3936843520,799.04,-1.42,7.36
2020,408138.0,392586.0,4897652,4189753837,855.46,-0.59,6.42
2021,461090.0,441092.0,5533082,4426412757,799.99,12.97,5.65
2022,502118.0,482941.0,6025420,4859228793,806.45,8.9,9.78
2023,529075.0,509802.0,6348900,5429434410,855.18,5.37,11.73
2024,467440.0,446299.0,5609284,5510409877,982.37,-11.65,1.49
2025,439901.0,423028.0,5278814,5955636294,1128.21,-5.89,8.08
2026,427603.0,410678.0,5131241,5848965317,1139.87,-2.8,-1.79
