fiscal_year,category,annual_expenditures
2018,Inpatient,112060345
2018,Inpatient Hospital-DSH Adjustments,60533406
2018,Mental Health Facilities-DSH Adjustments,27670993
2018,Outpatient,4687401
2018,Pharmacy,12153276
2018,Professional Services,47490970
2018,Medicare Buy-In,108145250
2018,HCBS Waivers,60749
2018,Targeted Case Management,610987
2018,Long Term Care,76511276
2018,Managed Care,3213313409
2018,KDHE (KanCare),1778227556
2018,KDADs (KanCare),1417490410
2018,All Other Medical,3621017
2018,Total Expenditures,3666859079
2019,Inpatient,99352411
2019,Inpatient Hospital-DSH Adjustments,89904093
2019,Mental Health Facilities-DSH Adjustments,8374066
2019,Outpatient,3956668
2019,Pharmacy,13987331
2019,Professional Services,45424032
2019,Medicare Buy-In,110586299
2019,HCBS Waivers,67223
2019,Targeted Case Management,650563
2019,Long Term Care,75335999
2019,Managed Care,3485967726
2019,KDHE (KanCare),1699895574
2019,KDADs (KanCare),1749516920
2019,All Other Medical,3237109
2019,Total Expenditures,3936843520
2020,Inpatient,148633685
2020,Inpatient Hospital-DSH Adjustments,66357803
2020,Mental Health Facilities-DSH Adjustments,13236033
2020,Outpatient,4094589
2020,Pharmacy,14458240
2020,Professional Services,42565515
2020,Medicare Buy-In,113854692
2020,HCBS Waivers,32159
2020,Targeted Case Management,771777
2020,Long Term Care,66757089
2020,Managed Care,3715879644
2020,KDHE (KanCare),1945412311
2020,KDADs (KanCare),1733072639
2020,All Other Medical,3112611
2020,Total Expenditures,4189753837
2021,Inpatient,107432680
2021,Inpatient Hospital-DSH Adjustments,65845305
2021,Mental Health Facilities-DSH Adjustments,10879618
2021,Outpatient,3309159
2021,Pharmacy,15456126
2021,Professional Services,43380410
2021,Medicare Buy-In,125150788
2021,HCBS Waivers,13411
2021,Targeted Case Management,994257
2021,Long Term Care,90993472
2021,Managed Care,3960529942
2021,KDHE (KanCare),2117688802
2021,KDADs (KanCare),1792249293
2021,All Other Medical,2427590
2021,Total Expenditures,4426412759
2022,Inpatient,74513730
2022,Inpatient Hospital-DSH Adjustments,92052598
2022,Mental Health Facilities-DSH Adjustments,42574804
2022,Outpatient,2484621
2022,Pharmacy,17314691
2022,Professional Services,51628023
2022,Medicare Buy-In,141463102
2022,HCBS Waivers,2490
2022,Targeted Case Management,967388
2022,Long Term Care,104610942
2022,Managed Care,4329974131
2022,KDHE (KanCare),2338862836
2022,KDADs (KanCare),1861719344
2022,All Other Medical,1642273
2022,Total Expenditures,4859228793
2023,Inpatient,123908751
2023,Inpatient Hospital-DSH Adjustments,75103746
2023,Mental Health Facilities-DSH Adjustments,15511332
2023,Outpatient,2052692
2023,Pharmacy,18028527
2023,Professional Services,52789999
2023,Medicare Buy-In,160899888
2023,HCBS Waivers,7843
2023,Targeted Case Management,988519
2023,Long Term Care,81133903
2023,Managed Care,4896716326
2023,KDHE (KanCare),2351158350
2023,KDADs (KanCare),2212051992
2023,All Other Medical,2292883
2023,Total Expenditures,5429434408
2024,Inpatient,59298306
2024,Inpatient Hospital-DSH Adjustments,73092602
2024,Mental Health Facilities-DSH Adjustments,10939304
2024,Outpatient,2766182
2024,Pharmacy,18946580
2024,Professional Services,51263713
2024,Medicare Buy-In,164289641
2024,HCBS Waivers,8603
2024,Targeted Case Management,802832
2024,Long Term Care,82715005
2024,Managed Care,5043326741
2024,KDHE (KanCare),2321754340
2024,KDADs (KanCare),2372188760
2024,All Other Medical,2960367
2024,Total Expenditures,5510409877
2025,Inpatient,45575783
2025,Inpatient Hospital-DSH Adjustments,51219961
2025,Mental Health Facilities-DSH Adjustments,12286892
2025,Outpatient,3458505
2025,Pharmacy,22244190
2025,Professional Services,54641767
2025,Medicare Buy-In,166258040
2025,HCBS Waivers,7178
2025,Targeted Case Management,1256582
2025,Long Term Care,79153004
2025,Managed Care,5516384746
2025,KDHE (KanCare),2452051191
2025,KDADs (KanCare),2869153297
2025,All Other Medical,3149644
2025,Total Expenditures,5955636293
2026,Inpatient,35633962
2026,Inpatient Hospital-DSH Adjustments,33830313
2026,Mental Health Facilities-DSH Adjustments,8789169
2026,Outpatient,3806784
2026,Pharmacy,28138994
2026,Professional Services,51546859
2026,Medicare Buy-In,178829330
2026,HCBS Waivers,26322
2026,Targeted Case Management,1375357
2026,Long Term Care,88769206
2026,Managed Care,5415182932
2026,KDHE (KanCare),2454323854
2026,KDADs (KanCare),3106738464
2026,All Other Medical,3036089
2026,Total Expenditures,5848965316
