fiscal_year,month,weeks,beneficiaries,beneficiary_avg_cost,consumers,consumer_avg_cost,total_expenditures
2017,July,5,447116,656.17,426807,687.39,293384697
2017,August,4,447122,668.64,429985,695.29,298963729
2017,September,4,448538,621.33,430582,647.24,278688688
2017,October,5,448641,623.33,432372,646.79,279652436
2017,November,4,441574,718.75,430945,736.48,317380723
2017,December,5,434743,664.83,423919,681.81,289030862
2017,January,4,422932,654.89,417163,663.95,276974379
2017,February,4,415591,661.0,404373,679.34,274706752
2017,March,5,420555,655.65,398226,692.41,275736906
2017,April,4,413695,699.03,402497,718.47,289183746
2017,May,4,415634,689.23,395973,723.46,286469475
2017,June,5,414245,746.03,398090,776.31,309041242
2018,July,4,414235,685.33,396537,715.92,283888198
2018,August,5,410631,680.97,406752,687.47,279628172
2018,September,4,407518,710.18,392960,736.49,289411460
2018,October,4,411626,683.49,390815,719.89,281342938
2018,November,5,414099,740.69,405271,756.82,306717772
2018,December,4,415954,750.08,394526,790.82,311997206
2018,January,4,421065,686.29,398508,725.14,288974090
2018,February,4,423574,776.89,400913,820.81,329072174
2018,March,5,423335,740.16,408086,767.81,313334465
2018,April,4,420740,746.22,406072,773.17,313963806
2018,May,5,418249,781.37,412297,792.65,326807276
2018,June,4,416687,820.09,398787,856.9,341721521
2019,July,4,413733,833.0,398381,865.0,344604492
2019,August,5,411814,752.0,395285,784.0,309794068
2019,September,4,411769,746.0,401300,766.0,307253926
2019,October,4,417859,744.0,399963,778.0,310972374
2019,November,5,417155,772.0,399609,806.0,321946541
2019,December,4,417269,768.0,398619,804.0,320670053
2019,January,4,415712,841.0,408157,857.0,349644866
2019,February,4,408152,789.0,404365,796.0,321982821
2019,March,5,409313,785.0,388046,829.0,321497338
2019,April,4,409313,836.0,390259,877.0,342066273
2019,May,5,398619,844.0,380645,883.0,336262565
2019,June,4,396237,884.0,381545,918.0,350148203
2020,July,4,396746,873.0,378612,915.0,346360838
2020,August,5,399495,845.0,409361,825.0,337735551
2020,September,4,400209,825.0,381866,865.0,330317789
2020,October,4,402663,854.0,411253,836.0,343980466
2020,November,5,401976,811.0,382320,853.0,326085384
2020,December,4,403812,859.0,384266,903.0,347036389
2020,January,4,405126,868.0,385566,913.0,351842834
2020,February,4,405716,846.0,387354,886.0,343324432
2020,March,5,408279,830.0,387486,875.0,338975904
2020,April,4,417068,951.0,399054,994.0,396752581
2020,May,5,425587,811.0,398064,867.0,345023128
2020,June,4,430975,887.0,405824,942.0,382318541
2021,July,4,437402,848.0,412560,900.0,371127670
2021,August,5,442268,786.0,413484,841.0,347753789
2021,September,4,448210,821.0,420769,875.0,368137532
2021,October,4,453296,817.0,433012,855.0,370270853
2021,November,5,455723,834.0,437940,868.0,379947592
2021,December,4,459632,803.0,445627,829.0,369259355
2021,January,4,463166,795.0,443601,830.0,368012028
2021,February,4,467480,745.0,449965,774.0,348287620
2021,March,5,472216,746.0,456273,772.0,352456694
2021,April,4,474777,753.0,459715,778.0,357476729
2021,May,5,477226,799.0,459151,831.0,381519083
2021,June,4,481686,856.0,461001,894.0,412163812
2022,July,4,484188,935.0,462919,978.0,452674894
2022,August,5,486975,766.0,458648,814.0,373112852
